,Nombre,Genero,Artistas,Album,Popularidad,Duracion,Explicito
60,Afrobeats Mix Flight OSO 149,afrobeat,Osocity,Afrobeats Mix Flight OSO 149,26.0,2372414.0,Verdadero
61,Holy Ghost,afrobeat,Omah Lay,Holy Ghost,68.0,186153.0,Falso
62,Afrobeat,afrobeat,Entspannungsmusik Meer,"Einfach entspannen, Vol. 2",4.0,176519.0,Falso
63,Charm,afrobeat,Rema,Rave & Roses Ultra,65.0,204750.0,Verdadero
64,Afrobeat,afrobeat,Bür Gür,Have You Lost Your Faith In God,0.0,317250.0,Falso
65,Afrobeat Renaissance - Alternate Drum Mix,afrobeat,"Robert Glasper, Derrick Hodge",Run The World: Season 1 (Music from the STARZ Original Series),20.0,53671.0,Falso
66,Dull,afrobeat,Asake,Mr. Money With The Vibe,62.0,100173.0,Falso
67,Afrobeat,afrobeat,AfroBeats,Afrobeat,1.0,214368.0,sin_valor
68,Afrobeats 2023,afrobeat,Paul CleverLee,Afrobeats 2023,32.0,224501.0,Verdadero
69,2 Sugar (feat. Ayra Starr),afrobeat,"Wizkid, Ayra Starr","More Love, Less Ego",57.0,187906.0,Falso
70,Afrobeat,afrobeat,Negus Beauvoir,Afrobeat,0.0,189120.0,Falso
71,Afrobeat - Baile do Japão,afrobeat,"MC Neneco, DJ Netto, MC Chara, MC GIBI",Afrobeat - Baile do Japão,0.0,160208.0,sin_valor
72,Stubborn (with Asake),afrobeat,"Victony, Asake",Stubborn (with Asake),67.0,176333.0,Falso
73,Afrobeat,afrobeat,Royalty Free Music Background,Afrobeat,0.0,124799.0,Falso
74,Afrobeat Fiesta,afrobeat,"Lofi Afrobeats, Dj Discoteca, AfroBeatsZ",Afro Beach Party - Chill Out Music for Afro Party & Discoteca,17.0,198430.0,Falso
75,DND,afrobeat,Rema,RAVAGE,56.0,166000.0,Falso
76,Afrobeat,afrobeat,African Tribal Orchestra,"Sounds Like Africa (African Beats, Drums, Sounds and Music)",3.0,176519.0,Falso
77,Afrobeat Si Fueras Tu - Instrumental,afrobeat,Jordan Films RD,Instruméntal Jordan Films,20.0,188003.0,Falso
78,Ololufe (feat. Wande Coal),afrobeat,"Wizkid, Wande Coal",S2,55.0,210194.0,Falso
79,Afrobeat,afrobeat,Oneness Of Juju,African Rhythms,1.0,237260.0,Falso
80,Reason (feat. Russ),afrobeat,"Asake, Russ",Mr. Money With The Vibe,53.0,131764.0,Falso
81,Afrobeat,afrobeat,Ruankkj,Afrobeat,11.0,144172.0,Verdadero
82,Afrobeat - Radio Mix,afrobeat,Simon Le Grec,Afrobeat,0.0,229403.0,Falso
83,Remember,afrobeat,Asake,Work Of Art,63.0,182142.0,Falso
84,Afrobeat,afrobeat,"DJ Pasta, Brucaliff",Dancefloor Jams,2.0,292866.0,Falso
85,Afrobeat - Club Mix,afrobeat,Simon Le Grec,Afrobeat,0.0,363227.0,Falso
86,Okay,afrobeat,Adekunle Gold,"Afro Pop, Vol. 1",54.0,186299.0,Verdadero
87,AfroBeat,afrobeat,Marlon Dasoul,Mozart at the Club,0.0,175229.0,Falso
88,Afrobeat - Playlist Mix,afrobeat,Simon Le Grec,Afrobeat,0.0,169835.0,Falso
89,Mogbe,afrobeat,Asake,Work Of Art,57.0,178947.0,Falso
90,Afrobeat,afrobeat,Diomobeats,Afrobeat,0.0,194867.0,Falso
91,Afrobeat - Dub Mix,afrobeat,Simon Le Grec,Afrobeat,0.0,365853.0,Falso
92,Sability,afrobeat,Ayra Starr,Sability,57.0,166558.0,Falso
93,Afrobeat,afrobeat,African Tribal Orchestra,Highlights of African Tribal Orchestra,0.0,176519.0,Falso
94,Feel (Afrobeats Mix),afrobeat,"Dualbox, Aracy Carvalho",Feel (Afrobeats Mix),38.0,147878.0,Falso
95,Holiday,afrobeat,Rema,Rave & Roses Ultra,52.0,159100.0,Falso
96,Afrobeat,afrobeat,"Luigi Vitale, Gianpaolo Rinaldi, Luca Colussi, Daniele D'Agaro, Mirko Cisilino, Denis Biason",KALIMBATA,0.0,448464.0,Falso
97,For My Love - Afrobeats Mix,afrobeat,Don & Gene,For My Love (Afrobeats Mix),39.0,132458.0,Falso
98,Good Vibes Infinitititi - African Lofi,afrobeat,Lofi Afrobeats,Good Vibes Infinitititi - African Lofi,47.0,144000.0,Falso
99,Afrobeat,afrobeat,Dani Le Cross,4 DJ: UnDiscovered Weekly #17,0.0,300000.0,Falso
100,Alt-Rock,alt-rock,Eudo 97,Demo,0.0,137622.0,Verdadero
101,Bartender Song (Sittin' At A Bar) - Alt/Rock Mix,alt-rock,Rehab,Graffiti The World,57.0,229040.0,Verdadero
